,sentence
23986,Gavumenti egamba nti omuwendo gw'ebyamaguzi ebiyingira eggwanga gukendeera buli lunaku.
23987,Ekitongole ekiwooza omusolo kyongezza omusolo ku mmotoka.
23988,Ebyamaguzi ebisinga biyita buyisi mu Uganda ne bigenda mu baliraanwa baayo abalala.
23989,Mu baliraanwa ba Uganda ab'omu bukiikaddyo waliwo olutalo olwomunda wakati w'ebibiina by'ebyobufuzi ebyenjawulo.
23990,Pulezidenti agamba nti omumyuka we eyavaako ye yaviirako obukuubagano.
23991,Abasirikale ba Uganda baatwalibwa okukuuma emirembe mu nsi eriraanyeewo.
23992,Endagaano ez'enjawulo zaateekebwako emikono okukomya olutalo.
23993,Bannansi bangi baafiirwa obulamu olw'olutalo.
23994,Muliraanwa wa Uganda mu bukiikaddyo alina ekizibu ky'obusosoze mu mawanga.
23995,Bannansi bangi bafuuse banoonyiboobubudamu mu Uganda.
23996,Olutalo lusannyalazza okulima emmere ne kiviirako ebbula ly'emmere.
23997,Embalirira y'eggwanga enyigiriziddwa ne ssente ezisaasaanyizibwa ku buli muntu ne zikendeera.
23998,Amakolero gateekeddwawo okutumbula ebyenfuna bya Uganda.
23999,Gavumenti eteeka ssente mu bintu okusobola okusitula eggwanga okulituusa mu lubu lw'ensi eziri yaddeyaddeko.
24000,Ebitongole by'ensi yonna bya kuvujjirira enkulaakulana y'ebyenfuna bya Uganda.
24001,Ekibiina ky'ensi yonna kikunga abantu okulima ebinazi mu Uganda.
24002,Uganda erina kuba ku mwanjo nga ensonga bw'etwalibwa mu bannansi.
24003,Abakungu mu gavumenti ez'ebitundu bannyonnyodde ku ntandikwa ya pulojekiti.
24004,Gavumenti zitandika pulojekiti mu kitundu ekirina ettaka.
24005,Pulezidenti waakutandikawo pulojekiti n'ettendekero erinaasomesa bannayuganda obukugu.
24006,Abagenyi abawera aba wano n'abava mu nsi ez'enjawulo baakubaawo.
24007,Ettaka ligabanyiziddwamu olw'emigaso egy'enjawulo.
24008,Ekifo ennyama weenaategekebwanga nga tennaba kutundibwa kyakuzimbibwa.
24009,Kya mugaso okulekawo ettaka ery'okuzimbako n'okusimbako emiti.
24010,Abakozi abalina obukugu obw'ekika ekya waggulu be bajja okweyambisibwa mu kuzimba.
24011,"Endagaano erina okukolebwa wakati wa bannannyini makolero, bannanyinittaka n'abalimi."
24012,"Ettaka lijja kubaako ekifo ekisanyukirwamu, ennyumba, ekifo awakolerwa n'emirimu."
24013,Disitulikiti eri mu kuteeka mu nkola amateeka gaayo.
24014,Abantu bajja kutumbula embeera ze bawangaaliramu.
24015,Abantu mu disitulikiti ez'enjawulo baakuganyulwa mu pulogulaamu eno.
24016,Gavumenti efubye okukuuma obutonde bw'ensi.
24017,Gavumenti ezudde omugaso gw'emiti mu nkyukakyuka y'embeera y'obudde.
24018,Wajja kubaawo engeri endala y'okufunamu amasannyalaze okugeza: okugaggya mu busa.
24019,Uganda eyozaayozeddwa olw'okwaniriza abanoonyiboobubudamu.
24020,Gavumenti efubye okulaba nga waliwo eddembe n'obutebenkevu mu ggwanga.
24021,Uganda yeeyongedde okufuna abanoonyiboobubudamu mu West Nile.
24022,Abanoonyiboobubudamu baasenga mu bifo ebyenjawulo.
24023,Abanoonyiboobubudamu bayisiddwa bulungi awatali kusosolebwa.
24024,Abanoonyiboobubudamu babeera mu kizikiza.
24025,Ssaabaminisita ataddewo okulambika okw'enjawulo ebirina okugobererwa abanoonyiboobubudamu.
24026,Bannayuganda bakoze bizinensi okusukka ensalo.
24027,Gavumenti efubye okulaba nga abanoonyiboobubudamu babeera mu bulamu obulungi.
24028,Abanoonyiboobubudamu balina obusobozi okugula n'okufuna kye baagala okulya.
24029,Gavumenti esuusuuse ekibinja ky'abanoonyiboobubudamu kimu ku kirala.
24030,Gavumenti eremereddwa okukwasaganya ebizibu ebyekuusa ku banoonyiboobubudamu.
24031,Bannayuganda ababeera mu kitundu tebalina busobozi kufuna buweereza obwa bulijjo.
24032,Abantu babeera mu mbeera eteeyagaza.
24033,Gavumenti tefudde ku bannansi baayo.
24034,Abantu tebalina ttaka we basobola okukolera okulabirira abaana baabwe.
24035,Abantu baliisibwa bubi.
24036,Abantu babeera mu mbeera y'ebyobulamu embi.
24037,Abantu babeera mu mbeera etaliimu ssuubi.
24038,Abantu baagala mirembe.
24039,Abantu tebalina busobozi bwa kufuna byabulamu birungi.
24040,Gavumenti ya Uganda essira eritadde ku kukulembeza mbeera abantu mwe bawangaalira.
24041,Abantu bajja kwenyigira mu mirimu gya bizinensi nga kiva mu kutumbula enkulaakulana.
24042,Abantu bafuna ebintu bye beeyambisa mu bulamu obwa bulijjo ebibi.
24043,Gavumenti essira eritadde ku byobufuzi okusinga obulamu bw'abantu.
24044,Abanoonyiboobubudamu abamu basobola okufuna ebyendya n'emmere ennungi.
24045,Abanoonyiboobubudamu si bamativu kubanga ekibinja ekimu kifiibwako okusinga ekirala.
24046,Gavumenti eremereddwa ddala okutuusa obuyambi ku bantu baayo.
24047,Gavumenti eteekawo empenda okuzza embeera mu nteeko.
24048,Gavumenti eyagala okulaba nga eteekawo obukuumi eri abanoonyiboobubudamu.
24049,Abakulembeze tebamanyi wa abanoonyiboobubudamu gye batambulira.
24050,Waliwo obukuumi bwa maanyi okwetooloola ekitundu.
24051,Obuzzi bw'emisango bungi mu kitundu.
24052,Abantu babeera mu mbeera embi.
24053,Embeera eri mu kitundu eviiriddeko ebikolwa by'obuzzi bw'emisango okweyongera.
24054,Abakuumi tebeefiirayo.
24055,Omukuumi alina okukwatibwa.
24056,Poliisi erina okukola okunoonyeraza.
24057,Poliisi erina okunyweza obukuumi.
24058,Abamenyi b'amateeka bakwatiddwa poliisi.
24059,Abayaaye tebatya poliisi.
24060,Abakungu balina okupangisa kkampuni y'ebyokwerinda okukuuma ebintu.
24061,Ababbi bakozesa obukodyo obw'amaanyi okusinga poliisi.
24062,Poliisi erina okunyweza ebyokwerinda mu kitundu.
24063,Gavumenti y'ebitundu erina okwongera ku bakuumaddembe.
24064,Abantu beekuuma bokka.
24065,Gavumenti erina okuwa ebigoberererwa ebyetaagibwa okulwanyisa akawuka.
24066,Eggwanga likyali bulungi okuva eri obulwadde.
24067,Obulwadde busaasaana nga buyita mu kwetaba n'omuntu omulwadde.
24068,Abantu balina okwewala okwetaba ne bannaabwe.
24069,Gavumenti erina okuggala ensalo okusobola okukuuma abantu.
24070,Gavumenti erina okusindika ttiimu z'abasawo okukebera abantu.
24071,Abantu bandikwatibwa obulwadde.
24072,Abantu tebalina ssuubi lya kulwanyisa bulwadde.
24073,Abantu balina okwewala ebifo ebirimu ekirwadde.
24074,Abantu baweebwa amagezi okusigala mu nnyumba zaabwe.
24075,Gavumenti eruddewo okubaako ky'ekola ku bulwadde.
24076,Abasawo ku disitulikiti tebalina bikozesebwa okukebera akawuka.
24077,Disitulikiti terina buyambi kuteekawo bifo bikebererwamu.
24078,Akakiiko ak'okukwasaganya ebola kateekeddwawo era kaliko bakugu.
24079,Akakiiko kajja kuteekawo empenda n'okukubaganya ebirowoozo ku kiyinza okukolebwa ku nsonga y'obulwadde.
24080,Ekitundu tekinnarumbibwa kawuka ka Ebola.
24081,Eddwaaliro lituusa empeereza z'ebyobujjanjabi okwetooloola ekitundu kyonna.
24082,Akawuka katwala ebbanga okweyoleka.
24083,Obulwadde bukosa nnyo omubiri.
24084,Obulwadde bwa bulabe nnyo era abantu balina okubwekuuma.
24085,Akawuka kasinga kusaasaanyizibwa nga kayita mu kukwatagana n'abantu abalwadde.
24086,Abantu era basobola okubufuna nga bakwata ku buwundo.
24087,Abanoonyiboobubudamu bajja kusomesebwa abasomesa abakugu.
24088,Abantu baawebwa amagezi n'obukugu.
24089,Abanoonyiboobubudamu basomeseddwa n'okuddamu okutendekebwa.
24090,Abasomesa bamanyi engeri y'okuteekerateekeramu obulungi abayizi baabwe.
24091,Pulojekiti eruubirira kutumbula obumanyirivu olw'empeereza ennungi mu byenjigiriza.
24092,Abantu balina okumanya enkyukakyuka eziri mu byenjigiriza.
24093,Ebizimbe ebipya ebikozesebwa mu kusoma bijja kuteekebwawo wamu n'okutumbula embeera z'abasomesa.
24094,Abantu bajja kufuna omukisa okwetaba mu mirimu egivaamu ssente.
24095,"Abantu bafunye obukugu bw'okukwatagana, okuwuliziganya n'okukolagana ne bannaabwe."
24096,Abaana tebasobola kutebenkera ku ssomero.
24097,Amasomero agamu gali mu kuddaabirizibwa.
24098,Abalwanirira eddembe ly'abakyala bavuddeyo okuyamba omwana omuwala.
24099,Abazadde bafunye amagezi okwanganga ebisoomooza omwana omuwala.
24100,Abazadde tebalina busobozi bwa kugabirira ebyetaago by'amaka gaabwe.
24101,Disitulikiti etaddewo empenda z'okuduukiriramu ebizibu by'abantu ebibagwako obugwi.
24102,Abawala tebaagala kusoma bw'obageraageranya n'abalenzi.
24103,Abawala balina ebibasoomooza ebibaviirako okuwanduka mu masomero.
24104,Disitulikiti eyagala kwekolera ppamba w'ekikyala wano.
24105,Abakyala bajja kuwa bawala baabwe  obuyambi.
24106,Disitulikiti erina obuyambi butono okutuukiriza ebyetaago by'ekitundu kyonna.
24107,Abazadde bajja kukolera bawala baabwe ppamba w'ekikyala.
24108,Pulezidenti alina eby'akolako bingi nnyo.
24109,Gavumenti teyateekawo ssente yonna eri omwana owoobuwala.
24110,Abantu bajja kusobola okumanya Katonda n'embeera ze.
24111,Waliwo okusosola abakyala mu kkanisa.
24112,Omukolo gw'okutukuza ekkanisa gwabadde mulungi.
24113,Ekifo w'ogenda okuteeka ekintu kiba kikulu ng'okironda.
24114,Waliwo obulabirizi obw'enjawulo abeepisikoopi abatikkiddwa gye baweereza.
24115,Endowooza z'abakyala ku mitendera gy'okukulaakulana nazo zirina okuwulirizibwa.
24116,Omuntu eyasooka okulaba Yesu nga azuukidde yali mukyala.
24117,Abakyala be bantu abakyasinze okugenda mu kkanisa.
24118,Okulya ebisiyaga kikolwa ekitali kya bwa Katonda.
24119,Enzikiriza z'edddiini zirina okubaawo mu mirembe ne zinaazo.
24120,Amakanisa gabuulira ku mirembe eri abakulembeze.
24121,Abakulembeze b'ekkansa mpagi eri enkulaakulana y'eggwanga.
24122,Ebitongole by'amaddiini byaniriza abantu okuva mu mawanga amalala.
24123,Bannansi balina okwaniriza abagwira.
24124,Uganda erina abanoonyiboobubudamu abeerabirira.
24125,Bannansi tebaali basanyufu n'omusaala ogutaasasulwa.
24126,Bannansi baali balindirira ensako yaabwe.
24127,Abakulembeze abaabadde abanyiivu baafulumye ekisenge omuteesezebwa.
24128,Akakiiko kaafunye embalirira eteeberezebwa.
24129,Ssentebe w'akakiiko k'ebyensimbi yagobebwa mu nkungaana z'akakiiko.
24130,Ssentebe tawaayo nsonga za ba kkansala okusobola okuziteeka mu nkola.
24131,Tetufuna kuddibwamu kulungi ensonga zaffe bwe zitwalibwa mu kakiiko.
24132,Ba kkansala baagaana omulanga gw'omu ku bakiise.
24133,Ba kkansala baagaanye okuyisa embalirira.
24134,Ba kkansala tebaali basanyufu n'okusasulwa okwalwisibwayo.
24135,Ssentebe wa disitulikiti yakkiriza okunenyezebwa okuggyako ng'okusasulwa tebikolebwa mangu.
24136,Ssente ezikungaanyiziddwa tezimala kusasula ba kkansala.
24137,Olunaku olw'okukungaana lwayongerwayo ku lunaku olulala.
24138,Disitulikiti zikkirizibwa okukozesa ekitundu ku musolo gwe zifuna.
24139,Abazadde balina okukolaganira awamu n'abebyokwerinda okulwanyisa abawamba abantu mu kitundu.
24140,Ensasula eruddewo kubanga omusolo gubadde tegunnakungaanyizibwa mu bujjuvu.
24141,Abaana balina okusindikibwa ku ssomero.
24142,Ekyalo gye kisangibwa kyongera ku buzzi bw'emisango.
24143,Okukuuma eggwanga lyaffe obutiribiri kiyamba okuleeta eddembe.
24144,Okumanya abantu ababeera mu nnyumba ya mulirwana wo kiyamba okukuuma ekyalo.
24145,Abasajja bakola omulimu munene mu kukuuma amaka.
24146,Bannansi bannange muyingize abavubuka mu buyeekera.
24147,Omuwendo gw'abavubuka oguyingizibwa mu bibiina by'obuyeekera tegumanyiddwa.
24148,Eyawamba omwana yasalirwa emyaka etaano mu kkomera.
24149,Okukuza obubi abaana emirundi egimu kuleetera okuwamba abaana.
24150,Bannansi ababeera ku nsalo balina okutemya ku poliisi mu bwangu singa wabaawo okwekengera kwonna.
24151,Ensalo eyambako abazzi b'emisango okulondoola poliisi by'ekola.
24152,Abalimi ba Kkooko kya tteekwa okufuna akatale k'ebimera byabwe.
24153,Emiti gisimbibwa okukuuma obutonde bw'ensi.
24154,Okusimba Kkooko kijja kuwa abantu ssente.
24155,Abalimi abaasooka bajja kuweebwa endokwa.
24156,Abalimi tebafuna ssente zimala okuva mu ttaaba.
24157,Uganda ekyasinze kufulumya kyamaguzi kya Kkooko mu mawanga amalala.
24158,Okweyongera kw'abalimi ba Kkooko kujja kwongera ku musolo oguwoozebwa mu ggwanga.
24159,Ebyobulimi ebitumbuddwa bijja kuyamba okwongeza enyingiza y'abalimi n'abalunzi.
24160,Ekitundu bukiikaddo bw'obuvanjuba kisobola okulimibwamu Kkooko okumala ebbanga eriwera.
24161,Ebisoomooza abalimi ba kkooko bye basanga biva ku butamanya.
24162,Abalimi ba Kkooko beetaaga obukugu bw'okuddukanya bizinensi.
24163,Abalimi balina okuba n'endowooza eruubirira bizinensi.
24164,Obwetaavu bwa kkooko bungi.
24165,Kkooko kirungo kikulu nnyo mu kukola chocolate.
24166,Buzinensi ya chocolate yateekeddwawo mu Uganda.
24167,Buzinensi ya kkooko esobola okusikirwa omwana okuva ku muzadde we.
24168,Embalirira y'omwaka gw'ebyensimbi ekkiriziddwa.
24169,Embalirira yakkiriziddwa oluvannyuma lwa ba Kkansala okwekalakaasa.
24170,Embalirira ya disitulikiti yakkiriziddwa nga bakansala abamu tebaliiwo.
24171,Olukungaana lw'akakiiko lwalimu abantu 10 bokka.
24172,Okusasula kwakolebwa oluvannyuma lwa ba kkansala okwekubira omulanga.
24173,Ba kkansala abatono abaali ku mukolo baasiimibwa.
24174,Ssente ezitanasasulwa zijja kukolebwako omwezi ogujja.
24175,Okusasulwa kwalwawo olw'omusolo okukendeera.
24176,Okusasulwa kukoleddwa ku musolo ogukungaanyizibwa kuno.
24177,Tewali ssente zimala kuteekateekera bulungi mwaka.
24178,Akasiimo kaweebwa ba kkansala.
24179,Okusasula okulamba kujja kukolebwa nga ogwomukaaga tegunnatuuka.
24180,Ekitundu ky'omusolo eky'essalira kye kisobola okusaasaanyizibwa.
24181,Ebyenjigiriza bulijjo bitwala ekitundu ekinene bwe baba bagabanya ensimbi.
24182,Ekitongole ky'ebyenjigiriza kyetaaga ssente okutumbula ebyetaago byakyo.
24183,Embalirira ziyisibwa singa ziyamba okutwala mu maaso eby'embeera z'abantu n'ebyenfuna.
24184,Abayizi ba kkolegi bakkiriziddwa okweyimirirwa leero.
24185,Abayizi baasibibwa kubanga beenyigira mu kulwana.
24186,Omu ku bayizi yafuna obuvune.
24187,Poliisi yeenyigiddemu okuzuula ekiviirako okulwana.
24188,Abalenzi abasomera mu masomero g'abalenzi bokka basobola okukuubagana singa abawala babaamu.
24189,Abalenzi beegaanye ebibagambibwa nti beenyigidde mu kulwana.
24190,Abakulembeze b'abayizi okuva mu masomero ag'enjawulo balina okukubaganya ebirowoozo okusobola okuziyiza okukubagana.
24191,Enkungaana zaali tezisobola kutuuzibwa kubanga abayizi baali bakola bibuuzo byabwe.
24192,Ensonga z'essomero zisobola okugonjoolwa nga abakulembeze batuuza enkiiko.
24193,Abayizi bajja kutwalibwa mu kkooti.
24194,Disitulikiti ziteekeddwa okulima ebirime ebiwa ebiriisa.
24195,Buli maka mu disitulikiti galina okuba n'etterekero ly'emmere.
24196,Emmere erina okuliibwa mu bigero ebituufu.
24197,Abavubuka ba disitulikiti baweereddwa amagezi ku kwewala obunafu.
24198,Omuvubuka omukozi wa mugaso eri eggwanga.
24199,Abazadde balina okuba nga basobola okukuza abaana abakozi.
24200,Abavubuka balina okukolerera enkulaakulana mubiseera by'omu maaso so ssi kubaawo bubeezi.
24201,Abazadde balina okulaga abavubuka omuwendo oguli mu kukola ennyo.
24202,Abavubuka basalawo okuzza emisango kubanga banafu.
24203,Abavubuka balina okubeera mu ssomero.
24204,Ensonga z'abavubuka zirina okufiibwako nga bagabanya embalirira.
24205,Abavubuka bawanduka nga tebanatuula bibuuzo bya kamalirizo.
24206,Eggwanga lirina okuwa abavubuka omusaala omulungi.
24207,Abavubuka basobola okukubiriza abalala okusigala mu ssomero.
24208,Abavubuka balina okukubirizibwa okutandikawo ebintu byabwe.
24209,Abavubuka balina okulaga okufaayo ennyo eri emirimu gyabwe.
24210,Abavubuka basobola okwewola okuva mu pulogulaamu z'abavubuka eza gavumenti.
24211,Gavumenti efubye okulaba ng'abantu beenyigire mu bizinensi ezikola amagoba.
24212,Ebbula ly'masannyalaze mu kitundu liremesezza emirimu gya bizinensi.
24213,Okuwanduka mu masomero kuli waggulu nnyo mu bantu b'e Koboko.
24214,Abazadde tebalina ssente okugabirira abaana baabwe.
24215,Abavubuka abamu tebategeera mugaso gwa kusoma.
24216,Abantu balina okuba n'obukugu n'amagezi okwenyigira mu mirimu gya bizinensi.
24217,Abantu abasinga bafunye emirimu.
24218,Abavubuka beenyigira mu kukola ku myaka emito.
24219,Ssentebe asomesezza abantu okubeera abakozi ennyo era n'obuvunaanyizibwa.
24220,Abavubuka balina okwagala eggwanga lyabwe n'okulirwanirira.
24221,Abazadde bawadde abaana eddembe lingi nnyo.
24222,Abavubuka bafuna okubikkulirwa ku by'ensimbi n'enneeyisa ez'enjawulo.
24223,Abazadde batadde obunafu mu ndowooza z'abaana baabwe.
24224,Disitulikiti yategeka enkungaana okuwa abavubuka amagezi ku ngeri gye bayinza okukwatamu obulamu baabwe.
24225,Disitulikiti eteekeddeteekedde bulungi abavubuka n'ebiseera byabwe eby'omu maaso.
24226,Abavubuka tebeeyunidde matendekero aga waggulu.
24227,Abavubuka balina okuba abakozi ennyo okusobola okwekkiririzaamu.
24228,Abakungu bavunaanyizibwa nnyo ku biseera by'abavukuba eby'omu maaso mu kitundu.
24229,Ebiragiro bya gavumenti tebimanyikiddwa mu bantu.
24230,Abavubuka tebaagala kwenyigira mu mirimu gya bizinensi.
24231,Abantu abamu basobodde okutumbula embeera zaabwe ez'obulamu.
24232,Ebbula ly'amasannyalaze liremesezza bizinensi mu kitundu.
24233,Abazadde tebalina ssente za kutwala baana ku ssomero.
24234,Tewali nkola ya kizaalaggumba mu kitundu.
24235,Abavubuka tebateekeddwateekeddwa bulungi.
24236,Abantu tebalina bukugu bwa kuddukanya bizinensi nnene.
24237,Abazadde batikkuddwa omugugu gw'ebisale by'essomero.
24238,Abayizi bateekwa okwenyigira mu mirimu gy'essomero gyonna n'okukola obulungi.
24239,Abantu bajja kuganyulwa naye kijja kusinziira.
24240,Disitulikiti ekiikiriddwa abantu abaasoma era ab'omuzinzi mu ggwanga.
24241,Omukiise eky'ennaku yafa.
24242,Yaleka omukululo mu bantu b'e Koboko.
24243,Amasomero gajja kusomesa abayizi abagezi bokka.
24244,Abayizi abanaasinga bajja kwefunira sikaala.
24245,Abayizi balina okukola ennyo okuleetera bazadde baabwe okubeenyumirizaamu.
24246,Abantu abawera bajja kwenyigira mu byemizannyo.
24247,Ebyenjigiriza bikomezzaawo essuubi mu bayizi.
24248,Abazadde baagaliza abaana baabwe ekisinga.
24249,Abayizi balina omukisa munene ogw'okuba n'ebiseera by'omu maaso ebitangaavu.
24250,Abayizi balowooza nti okusoma kwakuyisa buyisa budde.
24251,Abaana abasinga tebamalaako na pulayimale.
24252,Disitulikiti eyagala kuzuula lwaki abawala bawanduka mu ssomero?
24253,Okuwanduka mu ssomero kusinga mu baana abawala.
24254,Ebitundu ebirimu okuwanduka kw'abaana mu masomero bitono.
24255,Abazadde bafaayo ku bye beetaaga wabula si ku biseera by'abaana baabwe eby'omu maaso.
24256,Abazadde batambulira ku buwangwa.
24257,Abasomesa tebalina bukugu na magezi era tebalina bwagazi eri okusoma.
24258,Abayizi tebasobola kufuna byetaago bya mu bulamu obwa bulijjo.
24259,Okusoma kye kisumuluzo ekikutuusa ku buwanguzi.
24260,Disitulikiti erina okuyiiya engeri okuziyiza abaana okuwanduka mu masomero.
24261,Abazadde tebalina ssente okusobola okutuukiriza ebyetaago by'abaana baabwe.
24262,Disitulikiti ejja kulondoola abayizi n'abasomesa.
24263,Abakungu bajja kuwaayo alipoota zaabwe okusobola okukolebwako obulungi.
24264,Kyenkana ebitundu kikumi eby'abawala bawanduka mu ssomero buli mwaka.
24265,Ebikozesebwa mu byenjigiriza weebiri mu kitundu.
24266,Abazadde n'abawala tebatwala kusoma nga ekyokumwanjo.
24267,Abantu batandise okwenyigira mu bulimi obuvaamu ensimbi.
24268,Abantu bafunye omukisa okutumbula embeera zaabwe ez'obulamu.
24269,Abalimi bazze bu bulimi ng'ekintu eky'ettunzi.
24270,Abalimi beetaaga ssente okusobola okutumbula embeera zaabwe ez'obulamu.
24271,Gavumenti ewadde abantu obuyambi okusobola okumalawo obwavu.
24272,Abantu balina akatale k'ebirime.
24273,Abantu bajja kuganyulwa nnyo mu pulojekiti y'ebyobulimi eno.
24274,Emiti giyamba okukuuma obutonde.
24275,Abalimi bajja kufuna entandikwa n'ensimbi.
24276,Abalimi balina omukisa okukyusa embeera zaabwe n'amaka gaabwe.
24277,Pulojekiti y'ebyobulimi ejja kiviirako okukola amakolero ag'ongera omutindo ku mmere n'oluvannyuma kireetawo emirimu.
24278,Disitulikiti ejja kuba n'omusolo ogweyongedde.
24279,Disitulikiti essira eritadde ku muwogo okusinga ebirime ebirala.
24280,Gavumenti etadde ssente mu byobulimi.
24281,Abalimi bajja kuddukanya bizinensi y'ebyobulimi efuna.
24282,Pulojekiti eruubirira kwongera ku nnyingiza y'abantu b'omu kitundu.
24283,Abalimi bajja kusinga kwenyigira mu kulima ebirime eby'okutunda.
24284,Abantu era bajja kulima ebibala mu kitundu
24285,Enkola ya bonnabagaggawale eviiriddeko ebirimibwa okweyongera mu kitundu.
24286,Abantu balima ebirime ebiriko akatale.
24287,Okulima ebibala kiyambye okukuuma obutonde bw'ensi.
24288,Emiti gikola nga ebikwata embuyaga.
24289,Abalimi bajja kufuna ssente okuva mu birime.
24290,Abalimi balina okulabirira obulungi ffaamu zaabwe okusobola okufunamu.
24291,Okulima ebibala kiviirako ensimbi okuva mu mawanga g'ebweru.
24292,Kkampuni zijja kuteekebwawo okukola ebintu ebinaatundibwanga mu mawanga amalala.
24293,West Nile y'esinga okulima muwogo.
24294,Disitulikiti esobodde okufulumya buli kaseera ng'ewagira emirimu gy'obulimi.
24295,Wajja kubaawo okwongera mu mpeereza y'ebyenjigiriza.
24296,Gavumenti esiimye abasomesa nga eyongeza omusaala gwaabwe.
24297,Amasomero gajja kuddaabirizibwa mu kitundu.
24298,Gavumenti erina enkola y'okutumbula ebyenjigiriza.
24299,"Nga oggyeko ebyenjigiriza, gavumenti era yaluubirira okutumbula omutindo gw'ebyobulamu."
24300,Ensimbi zaagabanyizibwa bulungi.
24301,Gavumenti y'ebitundu ejja kufaayo ku mpeereza ng'eyita mu kukungaanya omusolo.
24302,Ekitundu tekirina bizinensi nnene kwongera ku musolo ogukungaanyizibwa.
24303,Omusolo tegusobola kumala kuvujjirira bulungi mirimu gya disitulikiti.
24304,Disitulikiti yeetaaga okusaka ssente eziwerera ddaala okuva mu gavumenti.
24305,Ebitongole by'ebyokwerinda birina ebyambalo nga birina kwambalwa ab'ebyokwerinda bokka.
24306,Abeebyokwerinda balina okweyawula ku bantu.
24307,Envendiirwa zirimu ekiriisa.
24308,Omuntu akonzibye abeera na bubonero ki?
24309,"Bw'olya emmere ejjudde ebiriisa, abasirikale abakuuma omubiri beeyongera."
24310,Abaana balina okulya obulungi okusobola okukula obulungi.
24311,Ki ekiviirako endya embi?
24312,Mmere erimu ebiriisa?
24313,Tusomesebwa ku ssomero nti kirungi okulya emmere ejjudde ebiriisa.
24314,Gavumenti ekoze mulimu ki mu byenjigiriza?
24315,Emmere kyetaago ky'omuntu ekya bulijjo.
24316,Bw'omala ennaku nga tolya mmere osobola okufa.
24317,Ffaayo nnyo ku ndya yo.
24318,Bamaama abali embuto beetaaga okulya obulungi.
24319,Ki ekiviirako obulwadde bwa sukaali?
24320,Abalimi bafukirira ebirime byabwe n'ekidomola ekifukirira.
24321,Ki ekirina okukolebwa okulwanyisa endya embi?
24322,"Olw'endya embi, abaana abamu balemererwa okusoma obulungi."
24323,Yakwatiddwa kubanga yabadde mu kibinja ekyasse omubbi.
24324,Obulamu bwa buli omu kikulu.
24325,Okuloga kikolwa kya bwa sitaani.
24326,Weewale okutwalira amateeka mu ngalo wabula loopa ku poliisi.
24327,Obutemu kibonerezebwa mu mateeka.
24328,Ani akulira ebyokwerinda mu Uganda?
24329,"Abavubuka beenyigira nnyo mu misango, lwaki?"
24330,Yattibwa ku lusooka omwaka.
24331,Abakulembeze b'ennono basobola okuwagira pulogulaamu za gavumenti mu ngeri emu oba endala.
24332,Abalangira kibanguyira okuyingira olubiri.
24333,Emisango gisobola okutangirwa.
24334,Omwepiskoopi asuulawo obuweereza ku myaka emeka?
24335,Mu nzikiriza y'obukrisitaayo ffenna tuli baaluganda.
24336,Ani avunaanyizibwa ku kulonda abeebiskoopi abaggya?
24337,Ppaapa ye ssaabasumba w'ekereziya y'obukatoliki okwetooloola ensi yonna.
24338,Ka tweyongere okukola emirimu gya Katonda.
24339,Buli mukulembeze wa njawulo mu ngeri ye.
24340,Omusumba omulungi aba na bisaanyizo ki?
24341,Katonda alina enteekateeka ennungi eri obulamu bwaffe.
24342,Omukulembeze omulungi alina okuba omwetowaze.
24343,Abeepiskoopi baweereza mu kkanisa.
24344,Omwana wo yazaalibwa ku nnnaku za mwezi ki?
24345,Omusumba yatikkirwa ddi?
24346,"Mu nzikiriza ezimu, abakulembeze b'enzikiriza balondebwa bulondebwa."
24347,Ki ekibeera ku kitebe ky'obusumba bw'abakatoliki?
24348,Obutale bwetaaga okuzimbibwa ku ttaka eddene.
24349,Ettaka lyo walifuna ku ssente mmeka?
24350,"Bwe weewola ssente, olina obuvunaanyizibwa okuzisasula."
24351,Bizibu ki ebimu abasuubuzi bye basanga?
24352,Lwaki neetaaga okuba n'ekyapa ky'ettaka?
24353,Ebizibu ebimu bisobola okugonjoolwa mu ngeri ez'enjawulo.
24354,Ettaka lisobola okufunibwa ng'oligula oba okulisikira.
24355,Nteekateeka okugula ettaka omwaka ogujja.
24356,Okubaawo kw'ettaka kusobozesa enkulaakulana.
24357,Lwaki abantu baagala okukkiriza engambo?
24358,Ettaka lisobola okubeera ery'omuntu oba ery'ekitundu.
24359,Bannanyinittaka beetaaga okubeera n'ebyapa by'ettaka olw'eby'okwerinda.
24360,Ebintu ebigasiza awamu abantu ng'enguudo bikozesebwa buli omu.
24361,Ettaka erimu lirekebwa okuzimbibwako oluguudo.
24362,Okuddizibwa kwetaagisa ddi?
24363,Tujja kutunda ettaka lyaffe ery'awaka.
24364,Omukulu ajja kwogerako n'abaakwasibwa ttenda.
24365,Abaguzi balina ebeetu okugula kyonna kye baagala.
24366,Abantu bangi nnyo babonaabona olw'obutamanya.
24367,Enguudo ennungi zaanguya entambuza y'ebyamaguzi okutuuka mu katale.
24368,Tuyinza kufuba tutya okukola empuliziganya ennungi?
24369,Abakulembeze abapya beetaaga okutendekebwa.
24370,Omwaka gw'ebyensimbi gwa bbanga ki?
24371,Ki ekirina okufiibwako ng'ogula ettaka?
24372,Okweyagaliza kwandivaamu omululu.
24373,Abantu abamu banyumirwa okugenda mu biduula.
24374,Kirungi abaana abasoma obutagenda mu biduula.
24375,Onyumirwa nnyimba za kika ki?
